market_id,vendor_id
1,1
1,102
1,109
1,150
1,170
1,184
1,191
1,2
1,226
1,3
1,305
1,334
1,339
1,36
1,4
1,457
1,5
1,6
10,135
10,188
10,190
10,20
10,202
10,209
10,241
10,264
10,307
10,366
10,40
10,405
10,41
10,42
10,425
10,43
10,44
10,45
10,454
10,46
10,47
10,48
10,6
10,74
10,83
11,118
11,376
11,413
11,415
11,49
11,50
12,138
12,51
12,75
13,128
13,138
13,158
13,16
13,314
13,365
13,378
13,384
13,450
13,52
13,53
13,54
13,55
13,56
13,57
13,69
13,71
13,80
14,129
14,141
14,144
14,179
14,214
14,228
14,246
14,25
14,30
14,304
14,325
14,331
14,35
14,371
14,387
14,58
14,59
14,60
14,61
14,62
14,63
14,64
14,65
14,95
15,176
15,66
15,93
16,108
16,15
16,3
16,303
16,31
16,337
16,382
16,67
16,68
16,69
16,70
16,91
17,120
17,144
17,178
17,185
17,186
17,230
17,263
17,302
17,359
17,388
17,389
17,71
17,72
17,73
17,74
17,75
17,76
17,77
17,88
17,91
17,94
18,12
18,126
18,164
18,180
18,202
18,213
18,238
18,253
18,273
18,289
18,29
18,311
18,324
18,354
18,356
18,381
18,446
18,78
18,79
18,80
18,81
18,82
18,83
18,84
18,85
18,86
18,98
19,10
19,104
19,110
19,125
19,162
19,177
19,27
19,274
19,286
19,292
19,306
19,323
19,33
19,374
19,396
19,4
19,429
19,443
19,87
19,88
19,89
19,90
19,91
19,92
19,93
19,94
19,95
19,96
2,132
2,20
2,325
2,385
2,62
2,7
2,70
2,8
2,9
20,100
20,101
20,102
20,103
20,158
20,18
20,205
20,216
20,233
20,376
20,395
20,422
20,423
20,432
20,439
20,56
20,64
20,76
20,97
20,98
20,99
21,104
21,105
21,106
21,107
21,108
21,109
21,110
21,111
21,112
21,15
21,152
21,157
21,17
21,175
21,194
21,203
21,279
21,286
21,313
21,319
21,338
21,36
21,369
21,370
21,430
21,449
21,78
23,105
23,113
23,114
23,115
23,116
23,117
23,179
23,229
23,260
23,302
23,328
23,344
23,380
23,80
23,88
24,118
24,119
24,120
24,121
24,122
24,123
24,124
24,125
24,126
24,136
24,149
24,153
24,17
24,192
24,209
24,223
24,225
24,227
24,256
24,272
24,292
24,295
24,31
24,338
24,400
24,436
24,51
25,127
25,128
25,129
25,192
25,193
25,222
25,350
25,434
25,450
26,100
26,11
26,130
26,131
26,132
26,133
26,134
26,135
26,136
26,137
26,138
26,151
26,173
26,201
26,268
26,285
26,304
26,353
26,375
26,39
26,410
26,427
26,445
26,457
26,52
26,59
27,139
27,140
27,141
27,169
27,386
27,429
27,45
27,458
27,99
28,142
28,143
28,144
28,145
28,233
28,282
28,305
28,316
28,345
28,353
28,406
28,407
29,137
29,139
29,146
29,147
29,148
29,149
29,150
29,293
29,301
29,358
29,414
29,418
29,48
29,65
29,82
3,10
3,11
3,12
3,166
3,208
3,247
3,436
3,444
3,81
30,118
30,151
30,46
31,152
31,153
31,154
31,163
31,243
31,275
31,350
31,426
31,43
32,112
32,155
32,156
32,157
32,158
32,283
32,321
32,329
32,331
32,364
32,388
32,402
33,127
33,141
33,159
33,160
33,161
33,162
33,163
33,164
33,165
33,166
33,180
33,217
33,219
33,220
33,235
33,266
33,291
33,357
33,393
33,421
33,447
33,75
33,92
34,109
34,125
